ID,Age,Age_Group,Experience,Income,Income_Group,ZIP_Code,Family,CCAvg,Spending_Level,Education,Education_Level,Mortgage,Mortgage_Category,Personal_Loan,Personal_Loan_Status,Securities_Account,CD_Account,CD_Account_Status,Online,CreditCard
1,25,Young,1,49,Low Income,91107,4,1.6,Low,1,undergraduate,0,No Mortgage,0,Rejected,1,0,No,0,0
2,45,Middle Age,19,34,Low Income,90089,3,1.5,Low,1,undergraduate,0,No Mortgage,0,Rejected,1,0,No,0,0
3,39,Middle Age,15,11,Low Income,94720,1,1,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
4,35,Middle Age,9,100,High Income,94112,1,2.7,Middle,2,graduate,0,No Mortgage,0,Rejected,0,0,No,0,0
5,35,Middle Age,8,45,Low Income,91330,4,1,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,0,1
6,37,Middle Age,13,29,Low Income,92121,4,0.4,Low,2,graduate,155,High Mortgage,0,Rejected,0,0,No,1,0
7,53,Senior,27,72,Middle Income,91711,2,1.5,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
8,50,Senior,24,22,Low Income,93943,1,0.3,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,0,1
9,35,Middle Age,10,81,Middle Income,90089,3,0.6,Low,2,graduate,104,Low Mortgage,0,Rejected,0,0,No,1,0
10,34,Middle Age,9,180,High Income,93023,1,8.9,High,3,professional,0,No Mortgage,1,Accepted,0,0,No,0,0
11,65,Senior,39,105,High Income,94710,4,2.4,Middle,3,professional,0,No Mortgage,0,Rejected,0,0,No,0,0
12,29,Young,5,45,Low Income,90277,3,0.1,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
13,48,Middle Age,23,114,High Income,93106,2,3.8,Middle,3,professional,0,No Mortgage,0,Rejected,1,0,No,0,0
14,59,Senior,32,40,Low Income,94920,4,2.5,Middle,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
15,67,Senior,41,112,High Income,91741,1,2,Middle,1,undergraduate,0,No Mortgage,0,Rejected,1,0,No,0,0
16,60,Senior,30,22,Low Income,95054,1,1.5,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,1
17,38,Middle Age,14,130,High Income,95010,4,4.7,Middle,3,professional,134,Low Mortgage,1,Accepted,0,0,No,0,0
18,42,Middle Age,18,81,Middle Income,94305,4,2.4,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
19,46,Middle Age,21,193,High Income,91604,2,8.1,High,3,professional,0,No Mortgage,1,Accepted,0,0,No,0,0
20,55,Senior,28,21,Low Income,94720,1,0.5,Low,2,graduate,0,No Mortgage,0,Rejected,1,0,No,0,1
